FID,CID,Type,POINT_X,POINT_Y
336, 0, 6, 254604.039695, 6250006.32513
337, 0, 6, 256472.264412, 6250625.04017
338, 0, 6, 255928.399793, 6251790.90432
339, 0, 6, 255163.060625, 6251330.51582
340, 0, 6, 255731.096448, 6249994.05799
341, 0, 6, 255423.18743, 6249760.85077
342, 0, 6, 255150.501156, 6250365.55847
343, 0, 6, 255140.405733, 6251300.82149
344, 0, 6, 256211.037104, 6251787.6854
345, 0, 6, 255364.303028, 6249821.62215
346, 0, 6, 255661.699228, 6250361.33355
347, 0, 6, 255638.212917, 6250419.33776
348, 0, 6, 256572.585239, 6250464.61771
349, 0, 6, 255546.453732, 6251030.51017
350, 0, 6, 256706.122116, 6250234.75136
351, 0, 6, 255196.37279, 6250904.41408
352, 0, 6, 256258.7365, 6251552.1373
353, 0, 6, 256152.430743, 6251233.73908
354, 0, 6, 256224.399082, 6249572.37609
355, 0, 6, 256168.591035, 6249951.48102
356, 0, 6, 255542.233096, 6251264.65528
357, 0, 6, 255840.653037, 6250385.64911
358, 0, 6, 255863.773412, 6251474.97007
359, 0, 6, 256001.825302, 6250650.45401
360, 0, 6, 255216.697953, 6250780.1425
361, 0, 6, 256094.282862, 6250403.19536
362, 0, 6, 255704.951559, 6251398.47828
363, 0, 6, 256298.384199, 6251336.04516
364, 0, 6, 256190.373473, 6249856.07957
365, 0, 6, 256217.007469, 6251558.43251
366, 0, 6, 256086.467191, 6250897.301
367, 0, 6, 255066.413166, 6249653.95825
368, 0, 6, 255155.897831, 6251635.33677
369, 0, 6, 255513.718833, 6251045.20664
370, 0, 6, 255758.293763, 6250703.97211
371, 0, 6, 256264.172397, 6251435.02226
372, 0, 6, 255150.614187, 6250774.23595
373, 0, 6, 255430.748169, 6249648.21515
374, 0, 6, 254733.190717, 6250296.66763
375, 0, 6, 254993.390389, 6249898.60062
376, 0, 6, 255219.90112, 6250421.7198
377, 0, 6, 256528.308801, 6250050.0195
378, 0, 6, 254658.147803, 6250684.62738
379, 0, 6, 255474.238994, 6250545.33742
380, 0, 6, 255480.965763, 6251057.90959
381, 0, 6, 256188.548069, 6250366.45654
382, 0, 6, 255990.402154, 6250644.1125
383, 0, 6, 255963.328178, 6250555.3986
384, 0, 6, 255611.954506, 6250587.94722
385, 0, 6, 255058.229663, 6251207.41005
386, 0, 6, 256064.729492, 6250791.40874
387, 0, 3, 256821.059316, 6249478.99815
388, 0, 6, 255074.873131, 6250672.81117
389, 0, 6, 256057.915352, 6250228.69435
390, 0, 6, 255678.550997, 6249883.15264
391, 0, 6, 256414.611357, 6250142.62916
392, 0, 6, 256154.527245, 6249641.37096
393, 0, 6, 254726.865029, 6249833.30655
394, 0, 6, 255978.7033, 6249931.31557
395, 0, 6, 255128.809169, 6250764.77133
396, 0, 6, 254528.979652, 6251620.12719
397, 0, 6, 255982.091692, 6251514.20331
398, 0, 6, 254574.363702, 6250976.20761
399, 0, 6, 255313.885997, 6250671.26591
400, 0, 6, 255700.758111, 6250064.60664
401, 0, 6, 255091.485679, 6249736.77557
402, 0, 6, 255629.995561, 6251154.20957
403, 0, 6, 255419.934944, 6250681.15959
404, 0, 6, 255653.600331, 6249845.93075
405, 0, 6, 255999.144544, 6250640.17055
406, 0, 6, 255435.018719, 6251075.0193
407, 0, 6, 256019.509136, 6250467.41614
408, 0, 6, 254658.179504, 6251061.67342
409, 0, 6, 256200.776287, 6249867.5038
410, 0, 6, 256295.094293, 6251332.79772
411, 0, 6, 256334.731043, 6249854.58008
412, 0, 6, 255944.99633, 6250381.08453
413, 0, 6, 254931.17913, 6251043.66078
414, 0, 6, 255635.11506, 6250416.37463
415, 0, 6, 255956.343442, 6250662.59687
416, 0, 6, 255362.091973, 6249494.48293
417, 0, 6, 256165.394414, 6250628.29466
418, 0, 6, 256048.60866, 6250645.20904
419, 0, 6, 254949.982404, 6249715.4214
420, 0, 6, 255020.538402, 6249845.72031
421, 0, 6, 256289.0276, 6251351.14487
422, 0, 6, 255724.793199, 6251156.64528
423, 0, 6, 256366.184651, 6250077.85769
424, 0, 6, 255447.965526, 6251079.77954
425, 0, 6, 254725.707914, 6250783.76867
426, 0, 6, 254541.411442, 6250580.09731
427, 0, 6, 255472.172903, 6250658.0853
428, 0, 6, 256083.604129, 6250157.70099
429, 0, 6, 256159.016505, 6249966.15068
430, 0, 6, 255955.079819, 6250572.86229
431, 0, 6, 255906.686434, 6250562.44432
432, 0, 6, 256973.763257, 6251106.53844
433, 0, 6, 256041.988199, 6250462.1156
434, 0, 6, 255481.30109, 6250598.90931
435, 0, 6, 256121.742643, 6249902.72534
436, 0, 6, 255366.034641, 6250061.12837
437, 0, 6, 255442.72149, 6250777.39925
438, 0, 6, 255083.89679, 6250782.57483
439, 0, 6, 255170.188346, 6249610.34402
440, 0, 6, 256400.356122, 6251023.73992
441, 0, 6, 255043.326226, 6249825.20584
442, 0, 6, 256632.922901, 6251334.22643
443, 0, 6, 255684.616306, 6249448.9575
444, 0, 6, 255043.540104, 6250228.75516
445, 0, 6, 256519.964111, 6250043.17128
446, 0, 6, 255193.881504, 6249582.62057
447, 0, 6, 255467.593725, 6250737.69748
448, 0, 6, 255446.776498, 6249644.3697
449, 0, 6, 255851.517841, 6250378.40674
450, 0, 6, 254640.782289, 6250657.16655
451, 0, 6, 254659.374686, 6251752.03904
452, 0, 6, 255907.968955, 6250714.50035
453, 0, 6, 255957.05733, 6249812.02296
454, 0, 6, 254921.143066, 6250548.75313
455, 0, 6, 254980.207111, 6251173.95633
456, 0, 6, 255404.239361, 6249486.53633
457, 0, 6, 256009.929485, 6250196.55009
458, 0, 6, 255718.257857, 6250190.22253
459, 0, 6, 254853.366233, 6249621.65791
460, 0, 6, 256107.81982, 6251535.37153
461, 0, 6, 255532.385788, 6250796.02305
462, 0, 6, 255187.888535, 6250895.70804
463, 0, 6, 254962.737842, 6251171.95442
464, 0, 6, 255140.593066, 6249488.63169
465, 0, 6, 255998.147677, 6250116.94579
466, 0, 6, 256162.5651, 6250165.45784
467, 0, 6, 255734.900663, 6250019.17432
468, 0, 6, 255728.082912, 6250611.43801
469, 0, 6, 254874.766367, 6251375.25649
470, 0, 6, 255109.567586, 6251162.7173
