FID,CID,Type,POINT_X,POINT_Y
275, 0, 4, -13735821.9908, 4787156.11628
276, 0, 4, -13735011.426, 4786108.2846
277, 0, 4, -13734153.3631, 4787600.89977
278, 0, 4, -13734277.0936, 4785800.84556
279, 0, 4, -13735520.3444, 4787116.12154
280, 0, 4, -13734313.1465, 4785925.40779
281, 0, 4, -13734246.2996, 4786407.30064
282, 0, 4, -13735389.7892, 4785824.68488
283, 0, 4, -13735768.5846, 4787277.24496
284, 0, 4, -13735203.1035, 4786798.57302
285, 0, 3, -13733817.5512, 4786079.01091
286, 0, 4, -13735374.0779, 4785962.57123
287, 0, 4, -13735882.0825, 4787552.71722
288, 0, 2, -13733748.1164, 4786597.18876
289, 0, 4, -13734473.0772, 4786552.0881
290, 0, 4, -13734160.3412, 4785735.75231
291, 0, 4, -13734195.7942, 4786368.86168
292, 0, 4, -13734136.2707, 4785459.37215
293, 0, 4, -13735155.578, 4786162.56693
294, 0, 4, -13735736.5658, 4787389.00732
295, 0, 4, -13734430.7593, 4786190.39484
296, 0, 4, -13735707.7791, 4786930.68633
297, 0, 4, -13734372.5749, 4785391.90493
298, 0, 4, -13734375.0653, 4786941.82609
299, 0, 4, -13734530.6611, 4786279.6079
300, 0, 4, -13734145.6463, 4785652.35408
301, 0, 4, -13734403.9908, 4786213.99709
302, 0, 4, -13734032.5781, 4786371.71731
303, 0, 4, -13734611.2083, 4786984.68346
304, 0, 4, -13735378.7785, 4785255.48581
305, 0, 4, -13734839.9141, 4786868.22648
306, 0, 4, -13734468.1276, 4786997.9012
307, 0, 4, -13735322.8938, 4787709.40778
308, 0, 4, -13734855.9853, 4785231.24589
309, 0, 4, -13735370.5121, 4787693.95241
310, 0, 4, -13734044.9265, 4786055.80151
311, 0, 4, -13734466.3315, 4786891.29384
312, 0, 4, -13734756.9617, 4787040.61161
313, 0, 4, -13735377.4452, 4785270.89659
314, 0, 4, -13735567.3198, 4787108.75347
315, 0, 3, -13733679.7708, 4786708.66614
316, 0, 2, -13733834.3926, 4787007.94572
317, 0, 4, -13734443.0518, 4785497.78249
318, 0, 4, -13734406.3324, 4786061.60055
319, 0, 4, -13734714.7776, 4786922.58199
320, 0, 4, -13734475.8505, 4786915.3341
321, 0, 4, -13735900.0137, 4787563.56847
322, 0, 4, -13734345.2752, 4785529.88117
323, 0, 4, -13734491.1482, 4786144.76779
324, 0, 3, -13733832.3113, 4785466.7269
325, 0, 4, -13735225.6766, 4785452.70518
326, 0, 4, -13734712.5648, 4786432.87627
327, 0, 4, -13735359.4118, 4786473.59317
328, 0, 4, -13734066.834, 4786865.73563
329, 0, 4, -13735363.7722, 4787009.94679
330, 0, 4, -13735606.9164, 4787664.15541
331, 0, 4, -13734880.5237, 4785246.77922
332, 0, 4, -13735404.4878, 4785496.7736
333, 0, 4, -13734851.5306, 4785299.79481
334, 0, 4, -13734321.2079, 4786603.86098
335, 0, 4, -13734245.6819, 4786833.79963
336, 0, 4, -13734492.5622, 4785939.12354
337, 0, 4, -13735543.4703, 4785220.21091
338, 0, 4, -13734213.3728, 4785269.89167
339, 0, 2, -13733834.7862, 4786958.9834
340, 0, 4, -13735787.3158, 4787253.91903
341, 0, 4, -13734779.023, 4785479.02205
342, 0, 4, -13735940.3999, 4785600.60143
343, 0, 4, -13734459.2824, 4785982.08072
344, 0, 4, -13734367.0972, 4787303.46824
345, 0, 4, -13734246.1811, 4786407.034
346, 0, 3, -13733622.5166, 4786106.33149
347, 0, 4, -13734970.594, 4787244.44312
348, 0, 4, -13734250.5811, 4786409.38057
349, 0, 4, -13735401.0904, 4786140.54644
350, 0, 4, -13735739.5694, 4787346.36142
351, 0, 3, -13733699.7894, 4786917.67464
352, 0, 4, -13735313.6218, 4787315.67048
353, 0, 4, -13734537.7075, 4785518.84796
354, 0, 4, -13734031.9126, 4787115.01455
355, 0, 1, -13735975.0782, 4786395.19071
356, 0, 4, -13735659.5758, 4786563.1527
357, 0, 4, -13735338.4075, 4786996.79778
358, 0, 3, -13733970.6144, 4786979.67672
359, 0, 4, -13735646.4001, 4785181.28299
360, 0, 4, -13734182.0805, 4786778.64963
361, 0, 4, -13734663.361, 4785964.98256
362, 0, 4, -13735307.8225, 4786617.40591
363, 0, 4, -13735253.1618, 4787490.6678
364, 0, 4, -13734536.6484, 4787027.98564
365, 0, 4, -13735150.08, 4786190.73399
366, 0, 4, -13735541.7481, 4785203.42755
367, 0, 3, -13733813.3442, 4786049.58744
368, 0, 4, -13735749.7451, 4787097.63803
369, 0, 4, -13734042.9832, 4787274.552
370, 0, 4, -13734193.7701, 4786937.18008
371, 0, 4, -13734576.9459, 4785570.92717
372, 0, 4, -13735382.0994, 4786374.57172
373, 0, 4, -13734936.568, 4786441.8696
374, 0, 4, -13734143.7497, 4785629.70434
375, 0, 4, -13734688.6935, 4786666.43443
376, 0, 4, -13734698.8798, 4786685.52586
377, 0, 4, -13733979.4616, 4787610.03785
378, 0, 4, -13734997.8351, 4787453.13186
379, 0, 3, -13733613.3355, 4785967.4889
380, 0, 4, -13734053.2678, 4786092.42311
381, 0, 4, -13734985.3581, 4786952.81643
382, 0, 4, -13735155.8596, 4786318.10746
383, 0, 4, -13734231.5403, 4786668.35589
384, 0, 4, -13734831.5458, 4785270.84511
385, 0, 4, -13735516.6917, 4786089.00341
386, 0, 4, -13734766.5493, 4787632.77777
387, 0, 4, -13734848.4709, 4785968.51721
388, 0, 4, -13735022.6493, 4787433.77526
389, 0, 4, -13734960.5815, 4786741.94688
390, 0, 4, -13734965.3013, 4786889.58979
391, 0, 4, -13735725.2862, 4785239.17488
392, 0, 4, -13735405.3381, 4786870.05037
393, 0, 4, -13735738.7923, 4787478.23302
394, 0, 4, -13735265.5238, 4787679.38238
395, 0, 3, -13733943.9514, 4786617.69122
396, 0, 4, -13734031.2887, 4786517.6402
397, 0, 4, -13735506.4413, 4785543.81434
398, 0, 4, -13734504.6222, 4786141.95711
399, 0, 4, -13734475.6639, 4787100.90979
400, 0, 4, -13735034.5892, 4785399.00376
401, 0, 4, -13735313.4331, 4785488.08537
402, 0, 4, -13735797.2819, 4787094.1558
403, 0, 4, -13735928.237, 4787308.77431
404, 0, 4, -13735016.5105, 4785945.74782
405, 0, 3, -13733934.0893, 4786568.4384
406, 0, 4, -13735770.9974, 4787091.80078
407, 0, 4, -13734340.6679, 4786077.53675
408, 0, 4, -13734166.4292, 4786471.70113
409, 0, 3, -13733640.3865, 4786251.06201
410, 0, 4, -13734171.8638, 4787568.57617
411, 0, 4, -13734914.7236, 4785265.0303
412, 0, 4, -13735427.4193, 4786046.8523
413, 0, 4, -13735951.135, 4787346.4301
414, 0, 3, -13733752.8713, 4785468.98044
415, 0, 4, -13734373.6894, 4787275.81296
416, 0, 4, -13734124.2757, 4786455.35078
417, 0, 4, -13735227.0312, 4787664.29453
418, 0, 4, -13735302.5939, 4785481.01523
419, 0, 4, -13735575.3237, 4786767.05763
420, 0, 4, -13734853.8689, 4785939.36756
421, 0, 4, -13734691.934, 4787083.16839
422, 0, 4, -13735433.3399, 4786956.88244
423, 0, 4, -13735924.5714, 4787281.12365
424, 0, 4, -13734837.5495, 4786273.27551
425, 0, 4, -13734032.8262, 4786484.38883
426, 0, 4, -13734941.7207, 4786437.88356
427, 0, 4, -13735579.138, 4785346.83277
428, 0, 4, -13734809.0185, 4786064.87145
429, 0, 2, -13733779.8345, 4787063.65175
430, 0, 4, -13735540.5884, 4785163.52565
431, 0, 4, -13735144.2345, 4786989.29688
432, 0, 4, -13734754.1021, 4786415.96672
433, 0, 4, -13735677.4067, 4786930.14126
434, 0, 4, -13735398.337, 4786168.65768
435, 0, 3, -13733842.5358, 4785627.46797
436, 0, 3, -13733958.1209, 4786788.56103
437, 0, 4, -13734968.5821, 4786695.98791
438, 0, 4, -13735250.4603, 4786550.81703
439, 0, 4, -13735425.8739, 4787025.71934
440, 0, 4, -13734023.7715, 4786725.39812
441, 0, 4, -13734133.8207, 4787090.74128
442, 0, 4, -13735252.166, 4787465.94803
443, 0, 4, -13734031.8555, 4786146.43801
444, 0, 4, -13735157.7138, 4786124.9001
445, 0, 4, -13734601.0729, 4786219.27594
446, 0, 4, -13735422.6108, 4785989.89374
447, 0, 4, -13734191.159, 4786232.96436
448, 0, 4, -13734695.317, 4786016.16164
449, 0, 2, -13733788.8529, 4786763.15041
450, 0, 4, -13734220.5183, 4787229.16293
451, 0, 4, -13735779.2486, 4785963.29694
452, 0, 4, -13734854.9717, 4786539.51703
453, 0, 4, -13734920.6674, 4787427.32443
454, 0, 4, -13734038.0841, 4785991.13216
455, 0, 3, -13733954.7185, 4786814.82916
456, 0, 4, -13734207.3582, 4785873.67018
457, 0, 3, -13733797.0626, 4785764.08334
458, 0, 4, -13734917.7543, 4786450.9971
459, 0, 4, -13735493.4191, 4785918.05427
460, 0, 4, -13735849.8971, 4787546.351
461, 0, 4, -13734298.4577, 4787240.16673
462, 0, 3, -13733824.3222, 4786298.42455
463, 0, 3, -13733831.6076, 4787183.45056
464, 0, 1, -13735967.8589, 4786441.55108
465, 0, 4, -13735309.1622, 4787293.57874
466, 0, 4, -13734217.3398, 4785287.80149
467, 0, 4, -13734457.9504, 4786526.8888
468, 0, 4, -13734881.6733, 4787369.42419
469, 0, 4, -13733969.6448, 4786725.42381
470, 0, 1, -13735932.4077, 4786157.97431
471, 0, 4, -13734387.2128, 4787103.97112
472, 0, 4, -13735150.1722, 4785347.7146
473, 0, 3, -13733949.1199, 4786758.91329
474, 0, 3, -13733662.218, 4786544.93403
475, 0, 4, -13734578.2019, 4787296.80387
476, 0, 4, -13734693.5205, 4786631.68838
477, 0, 4, -13735824.9133, 4787221.52306
478, 0, 4, -13734597.2761, 4786355.2872
479, 0, 4, -13734938.5104, 4787682.11527
480, 0, 4, -13734501.4043, 4786143.97379
481, 0, 4, -13734576.2771, 4786663.61526
482, 0, 4, -13735289.9578, 4787684.64627
483, 0, 4, -13734861.225, 4787361.67581
484, 0, 4, -13734611.8555, 4786795.44278
485, 0, 4, -13734047.6297, 4786052.06478
486, 0, 4, -13735207.9528, 4786808.75703
487, 0, 4, -13735857.5021, 4787547.26177
488, 0, 4, -13735920.6167, 4787192.35052
489, 0, 4, -13735747.7949, 4786361.64072
490, 0, 4, -13735342.142, 4786739.11341
491, 0, 4, -13734696.099, 4786014.34365
492, 0, 4, -13734657.3057, 4787440.42849
493, 0, 4, -13735407.4875, 4785972.88742
494, 0, 4, -13735537.692, 4785204.45375
495, 0, 4, -13734666.1193, 4786764.02518
496, 0, 4, -13734790.8019, 4787400.8887
497, 0, 4, -13735446.6535, 4786538.32634
498, 0, 4, -13735152.8794, 4787011.68986
499, 0, 4, -13735864.9365, 4787552.94558
500, 0, 4, -13735431.594, 4786015.70169
501, 0, 4, -13734312.7697, 4787036.42137
502, 0, 4, -13734637.0882, 4786948.7688
503, 0, 4, -13734033.3602, 4786390.91528
504, 0, 4, -13735941.0574, 4787340.02241
505, 0, 3, -13733685.4763, 4786804.74286
506, 0, 4, -13734153.4409, 4787495.97653
507, 0, 4, -13735021.007, 4787348.05853
508, 0, 4, -13734164.0251, 4786908.47047
509, 0, 4, -13735270.3789, 4786214.53814
510, 0, 4, -13735878.2066, 4785537.54014
511, 0, 4, -13734020.8269, 4786338.60449
512, 0, 4, -13735136.9674, 4785323.08612
513, 0, 4, -13735373.3636, 4786482.45087
514, 0, 2, -13733749.8599, 4786591.92894
515, 0, 4, -13734853.7537, 4785784.21364
516, 0, 4, -13734443.354, 4786523.43526
517, 0, 4, -13735905.1156, 4785187.60642
518, 0, 4, -13734576.7671, 4785936.06944
519, 0, 4, -13735286.8623, 4785137.01766
520, 0, 4, -13735524.4441, 4785570.09017
521, 0, 4, -13735537.3547, 4787407.44129
522, 0, 4, -13735558.0486, 4786588.86919
523, 0, 4, -13735822.4848, 4785291.19652
524, 0, 4, -13735513.9237, 4786233.70491
525, 0, 4, -13735009.9486, 4787022.72761
526, 0, 3, -13733964.8832, 4786951.28399
527, 0, 4, -13734831.4723, 4787575.43494
528, 0, 4, -13735521.0718, 4786067.13325
529, 0, 2, -13733733.0526, 4786401.48389
530, 0, 4, -13735327.8524, 4785903.57115
531, 0, 4, -13734778.1745, 4786279.26816
532, 0, 4, -13735015.9124, 4787059.68524
533, 0, 4, -13735537.1366, 4785248.65508
534, 0, 4, -13734610.6406, 4786203.41044
535, 0, 4, -13735475.2209, 4785881.97179
536, 0, 4, -13734042.8197, 4787587.21306
537, 0, 4, -13734839.3281, 4787503.74529
538, 0, 2, -13733742.3708, 4786545.41923
539, 0, 3, -13733684.6195, 4785350.13724
540, 0, 4, -13736008.163, 4787447.20985
541, 0, 4, -13734943.9095, 4785298.61318
542, 0, 4, -13735126.2248, 4787571.79283
543, 0, 4, -13734814.4282, 4785238.31637
544, 0, 3, -13733892.2952, 4787182.9541
545, 0, 4, -13735576.2057, 4786763.69561
546, 0, 4, -13735486.0012, 4787124.79663
547, 0, 4, -13734433.7708, 4787137.09714
548, 0, 4, -13734406.4545, 4787080.29362
549, 0, 4, -13735536.7834, 4785166.51665
550, 0, 4, -13734345.7384, 4785781.40779
551, 0, 4, -13735016.8064, 4785921.90061
552, 0, 4, -13734453.4112, 4787121.67161
553, 0, 4, -13734688.2035, 4785295.36649
554, 0, 4, -13735896.0859, 4787123.72841
555, 0, 4, -13734412.0886, 4786013.30676
556, 0, 4, -13735764.2652, 4786190.43207
557, 0, 4, -13734413.1877, 4786838.65934
558, 0, 4, -13735269.997, 4786196.2375
559, 0, 4, -13734523.0029, 4785728.3195
560, 0, 4, -13734548.7972, 4786784.69469
