FID,CID,Type,POINT_X,POINT_Y
252, 0, 1, 12307103.5506, 3384317.26679
253, 0, 1, 12306470.5137, 3383297.37041
254, 0, 1, 12306088.5661, 3384694.7664
255, 0, 1, 12308115.3901, 3382947.43207
256, 0, 1, 12306949.7933, 3383923.05248
257, 0, 1, 12306932.141, 3383874.17754
258, 0, 1, 12308174.2828, 3383892.09272
259, 0, 1, 12306281.9148, 3383655.96308
260, 0, 1, 12306165.0996, 3384412.54579
261, 0, 1, 12308083.2003, 3383833.8294
262, 0, 1, 12306768.7961, 3382877.86353
263, 0, 1, 12307151.492, 3384964.92094
264, 0, 1, 12307096.233, 3383323.45748
265, 0, 1, 12306240.9544, 3383464.75337
266, 0, 1, 12306195.261, 3382733.73252
267, 0, 1, 12307771.2429, 3383854.46676
268, 0, 1, 12306399.8579, 3383507.49428
269, 0, 1, 12307414.727, 3383743.56934
270, 0, 1, 12306896.9884, 3383684.636
271, 0, 1, 12307028.6684, 3383597.68308
272, 0, 1, 12306265.1448, 3383664.25342
273, 0, 1, 12306177.136, 3383485.04402
274, 0, 1, 12307984.6116, 3382942.75409
275, 0, 1, 12305990.3486, 3385088.02953
276, 0, 1, 12307699.8091, 3383560.42631
277, 0, 1, 12307197.7767, 3383334.94397
278, 0, 1, 12306163.4274, 3383584.60483
279, 0, 1, 12307072.0498, 3384717.79651
280, 0, 1, 12306982.6778, 3383262.4221
281, 0, 1, 12306331.7154, 3383379.55847
282, 0, 1, 12308246.7369, 3382836.55545
283, 0, 1, 12306279.4121, 3383654.96155
284, 0, 1, 12306382.6596, 3382702.01534
285, 0, 1, 12306269.3089, 3383188.87318
286, 0, 1, 12306204.0058, 3382728.35893
287, 0, 1, 12307103.3414, 3384361.68621
288, 0, 1, 12308294.081, 3383958.53462
289, 0, 1, 12306003.3874, 3385034.07445
290, 0, 1, 12306260.6612, 3384042.00021
291, 0, 1, 12306790.7394, 3382954.19864
292, 0, 1, 12306217.0328, 3383188.2367
293, 0, 1, 12307582.0177, 3383579.07446
294, 0, 1, 12306367.3659, 3383236.40731
295, 0, 1, 12307418.0685, 3383890.94022
296, 0, 1, 12306949.0107, 3383714.37881
297, 0, 1, 12306807.2951, 3382974.32523
298, 0, 1, 12307511.1332, 3383570.47616
299, 0, 1, 12307517.3295, 3383923.07843
300, 0, 1, 12306941.8855, 3383240.97381
301, 0, 1, 12306172.3071, 3383605.87277
302, 0, 1, 12307097.8787, 3384691.21293
303, 0, 1, 12307037.358, 3383964.17215
304, 0, 1, 12307258.0929, 3383787.65381
305, 0, 1, 12307720.6677, 3383867.25499
306, 0, 1, 12307205.8881, 3384623.57094
307, 0, 1, 12307188.0487, 3383442.2827
